,œ∞∏ï∂éöóÒÅ®,123456789ABCDEF,123456789ABCDEF,123456789ABCDEF,123456789ABCDEF,123456789ABCDEF,123456789ABCDEF,123456789ABCDEF,123456789ABCDEF,123456789ABCDEF,123456789ABCDEF,123456789ABCDEF,123456789ABCDEF,123456789ABCDEF,123456789ABCDEF,123456789ABCDEF,123456789ABCDEF,123456789ABCDEF,123456789ABCDEF,123456789ABCDEF,123456789ABCDEF,123456789ABCDEF,,,,
1,'1702021,D,3,4,3,1,7,7,5,6,2,9,3,2,2,3,6,4,7,2,3,5,,F:\20191118191020\20191118191020-0002.jpg,,
2,'1702030,D,3,4,3,1,7,7,4,7,2,9,3,2,2,3,6,4,7,2,3,5,,F:\20191118191020\20191118191020-0003.jpg,,
3,'1702123,D,3,4,3,6,7,7,5,6,2,9,3,2,2,3,6,4,7,2,3,5,,F:\20191118191020\20191118191020-0004.jpg,,
4,'1702601,D,3,4,3,6,7,7,4,7,2,9,3,2,2,3,6,4,7,2,3,5,,F:\20191118191020\20191118191020-0005.jpg,,
5,'1702091,B,3,4,3,1,7,7,4,7,2,9,3,2,2,3,6,4,7,2,3,5,,F:\20191118191020\20191118191020-0006.jpg,,
6,'1702082,E,2,5,2,9,7,7,4,7,2,6,3,2,2,3,6,4,7,2,3,5,,F:\20191118191020\20191118191020-0007.jpg,,
7,'1702092,B,3,4,3,7,7,7,4,7,2,9,3,2,2,3,6,4,7,2,3,5,,F:\20191118191020\20191118191020-0008.jpg,,
8,'1702006,3,2,A,2,9,7•F,3,2,,4,7,3,9,2,3,6,4,7,2,3,5,,F:\20191118191020\20191118191020-0009.jpg,,
9,'1702113,B,3,4,7,8,2,7,F,2,2,9,3,2,2,3,6,4,7,2,3,5,,F:\20191118191020\20191118191020-0010.jpg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
